N,P,K,temperature,humidity,ph,rainfall,label
98.62,34.67,37.11,27.77,76.41,6.18,879.3,Rice
109.31,36.97,35.33,26.67,77.56,6.23,724.9,Rice
99.15,36.6,30.64,27.44,81.18,6.2,1077.3,Rice
101.99,37.35,31.66,29.02,76.37,6.25,1246.8,Rice
107.01,36.99,31.34,29.53,77.59,6.09,955.2,Rice
106.55,36.92,36.05,29.17,81.15,6.21,955.0,Rice
103.99,34.25,40.0,26.53,77.36,6.14,587.6,Rice
106.69,39.28,34.72,25.44,78.72,6.26,835.1,Rice
118.57,36.86,33.17,26.99,78.0,6.27,1097.1,Rice
105.99,32.83,34.12,24.69,77.4,6.19,866.8,Rice
99.85,35.78,35.5,29.95,82.14,6.34,1030.1,Rice
103.05,38.68,34.91,31.52,79.14,6.31,1001.0,Rice
111.39,37.45,37.07,23.72,81.71,6.18,1031.3,Rice
99.98,40.0,31.83,27.23,83.27,6.12,933.1,Rice
90.07,35.66,31.37,29.59,80.01,6.21,847.4,Rice
86.55,37.97,36.77,30.76,81.71,6.41,978.5,Rice
101.56,34.42,40.0,26.9,80.77,6.05,937.4,Rice
106.59,39.34,34.87,25.99,81.1,6.23,774.2,Rice
109.07,35.26,37.1,30.29,81.46,6.12,696.3,Rice
104.16,38.59,33.46,24.89,80.72,6.21,997.7,Rice
104.86,32.02,36.55,27.65,76.44,6.3,862.1,Rice
95.38,36.2,38.05,26.72,80.91,6.26,794.5,Rice
99.2,40.0,34.97,32.03,78.94,6.16,1007.6,Rice
100.5,34.15,35.61,24.21,84.81,6.12,620.2,Rice
102.34,40.0,32.39,25.31,78.69,6.08,773.7,Rice
97.94,30.19,33.69,30.23,81.12,6.35,905.0,Rice
117.01,36.69,35.93,25.77,77.98,6.37,822.6,Rice
96.17,31.54,32.67,25.92,81.54,6.27,989.8,Rice
112.18,35.21,38.0,27.28,78.21,6.25,709.4,Rice
103.9,40.0,34.9,29.12,80.74,6.32,860.1,Rice
89.21,28.23,29.28,27.87,79.75,6.29,1016.5,Rice
83.82,35.99,36.11,29.79,81.9,6.05,751.8,Rice
94.71,33.44,33.25,24.1,80.38,6.18,872.8,Rice
100.31,33.48,33.23,27.87,76.96,6.41,881.2,Rice
107.55,38.1,32.86,29.21,77.27,6.42,796.2,Rice
116.0,36.7,29.29,29.0,79.02,6.11,828.2,Rice
83.69,31.53,37.32,30.34,84.57,6.25,1009.1,Rice
96.28,39.12,30.73,28.57,84.35,6.21,885.3,Rice
94.48,36.94,35.29,26.3,84.23,6.22,1066.7,Rice
93.73,38.69,34.56,28.83,79.56,6.12,1062.0,Rice
105.38,34.65,32.42,26.31,78.22,6.3,830.2,Rice
112.56,40.0,35.07,25.21,79.08,6.19,1089.0,Rice
102.3,33.62,32.69,26.63,84.29,6.17,980.8,Rice
107.63,32.95,36.45,29.31,81.8,6.16,1169.6,Rice
109.57,37.47,35.01,25.86,81.35,6.15,974.4,Rice
