intent,utterance
fertilizer_advice,"Fertilizer recommendation for Castor given N=75, P=45, K=60"
irrigation_advice,How often should I irrigate Gram?
fertilizer_advice,When to apply phosphorus for Groundnut?
fertilizer_advice,When to apply phosphorus for Sweet_Potato?
pest_disease_help,Symptoms of common diseases in Brinjal
pest_disease_help,How to treat fungal infection in Cumin?
irrigation_advice,How much water does Fennel need per week?
irrigation_advice,How often should I irrigate Tur_Arhar?
pest_disease_help,Symptoms of common diseases in Sweet_Potato
planting_schedule,Planting and harvesting months for Wheat
pest_disease_help,Best pesticide practice for Tomato
planting_schedule,Planting and harvesting months for Coriander
fertilizer_advice,"Fertilizer recommendation for Cassava given N=60, P=30, K=90"
irrigation_advice,How much water does Cotton need per week?
recommend_crop,Which crop suits my soil with pH 7.5 and rainfall 250mm?
pest_disease_help,Symptoms of common diseases in Barley
planting_schedule,Optimal planting time for Coffee
pest_disease_help,My Green_Peas leaves are yellow — what could be wrong?
pest_disease_help,My Oats leaves are yellow — what could be wrong?
pest_disease_help,How to manage pests in Niger fields?
planting_schedule,Planting and harvesting months for Barley
fertilizer_advice,When to apply phosphorus for Sesamum?
irrigation_advice,Water requirement for Cumin with rainfall 250mm
irrigation_advice,How often should I irrigate Coriander?
irrigation_advice,How often should I irrigate Arecanut?
pest_disease_help,Best pesticide practice for Rice
recommend_crop,Best crop for temperature 27C and humidity 65%
fertilizer_advice,When to apply phosphorus for Turmeric?
recommend_crop,Which crop suits my soil with pH 6.2 and rainfall 600mm?
planting_schedule,When does Okra mature after planting?
recommend_crop,Best crop for temperature 30C and humidity 90%
irrigation_advice,Irrigation schedule for Wheat in Rabi season
irrigation_advice,How often should I irrigate Jute?
irrigation_advice,Best irrigation practice for Rice
fertilizer_advice,"Fertilizer recommendation for Cauliflower given N=150, P=90, K=120"
recommend_crop,Suggest a crop for low nitrogen soils (N=45 kg/ha)
fertilizer_advice,Suggest fertilizer amounts for Oats
fertilizer_advice,Suggest fertilizer amounts for Cabbage
fertilizer_advice,"Fertilizer recommendation for Tea given N=225, P=60, K=150"
fertilizer_advice,"Fertilizer recommendation for Tobacco given N=115, P=60, K=115"
planting_schedule,Optimal planting time for Cabbage
planting_schedule,Optimal planting time for Ginger
irrigation_advice,Best irrigation practice for Linseed
recommend_crop,Suggest a crop for low nitrogen soils (N=75 kg/ha)
irrigation_advice,Water requirement for Coriander with rainfall 300mm
planting_schedule,When should I plant Jute in my region?
fertilizer_advice,Suggest fertilizer amounts for Tur_Arhar
recommend_crop,Which crop suits my soil with pH 6.8 and rainfall 400mm?
recommend_crop,Best crop for temperature 24C and humidity 70%
irrigation_advice,How much water does Maize need per week?
irrigation_advice,How much water does Cotton need per week?
irrigation_advice,Water requirement for Linseed with rainfall 250mm
recommend_crop,Which crop suits my soil with pH 6.5 and rainfall 500mm?
fertilizer_advice,When to apply phosphorus for Gram?
fertilizer_advice,How much nitrogen should I apply for Linseed?
irrigation_advice,How much water does Ragi need per week?
recommend_crop,Best crop for temperature 24C and humidity 70%
irrigation_advice,How often should I irrigate Coriander?
recommend_crop,Best crop for temperature 18C and humidity 60%
pest_disease_help,Best pesticide practice for Niger
irrigation_advice,Best irrigation practice for Ginger
fertilizer_advice,When to apply phosphorus for Brinjal?
recommend_crop,Best crop for temperature 25C and humidity 70%
recommend_crop,What crop should I grow if my soil pH is 6.8 and rainfall 400mm?
planting_schedule,When should I plant Tobacco in my region?
irrigation_advice,Best irrigation practice for Tomato
recommend_crop,Best crop for temperature 25C and humidity 70%
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 600mm?
