location,crop_type,growth_stage,soil_moisture_pct,ndvi,canopy_cover_pct,weed_density_plants_per_m2,recommended_action,herbicide,dosage_ml_per_ha,manual_removal_required,image_path,day_of_year,month,week_of_year,season,day_sin,day_cos,month_sin,month_cos,competition_index,weed_favorability,crop_competition_strength,soil_moisture_pct_x_ndvi,soil_moisture_pct_x_canopy_cover_pct,soil_moisture_pct_x_weed_density_plants_per_m2,soil_moisture_pct_x_dosage_ml_per_ha,soil_moisture_pct_x_day_of_year,soil_moisture_pct_x_month,soil_moisture_pct_x_week_of_year,soil_moisture_pct_x_day_sin,soil_moisture_pct_x_day_cos,soil_moisture_pct_x_month_sin,soil_moisture_pct_x_month_cos,soil_moisture_pct_x_competition_index,soil_moisture_pct_x_weed_favorability,soil_moisture_pct_x_crop_competition_strength,ndvi_x_canopy_cover_pct,ndvi_x_weed_density_plants_per_m2,ndvi_x_dosage_ml_per_ha,ndvi_x_day_of_year,ndvi_x_month,ndvi_x_week_of_year,soil_moisture_pct_squared,soil_moisture_pct_sqrt,ndvi_squared,ndvi_sqrt,canopy_cover_pct_squared,canopy_cover_pct_sqrt,weed_density_plants_per_m2_squared,weed_density_plants_per_m2_sqrt,dosage_ml_per_ha_squared,dosage_ml_per_ha_sqrt,dominant_weed_species
13,2,1,9.7,0.467,67.5,33.4,0,0,200.0,1,0,103.0,4.0,15.0,1,0.9796136916454901,-0.20089055513063506,0.8660254037844387,-0.4999999999999998,0.4875912408759124,3.1525,0.9,4.5299,654.75,323.97999999999996,1939.9999999999998,999.0999999999999,38.8,145.5,9.502252808961252,-1.94863838476716,8.400446416709055,-4.849999999999998,4.72963503649635,30.579249999999995,8.73,31.5225,15.5978,93.4,48.101000000000006,1.868,7.005000000000001,94.08999999999999,3.1144823004794873,0.21808900000000003,0.6833739825307955,4556.25,8.215838362577491,1115.56,5.779273310719955,40000.0,14.142135623730951,No_weed
24,1,0,32.9,0.884,53.8,77.1,0,3,300.0,2,111,349.0,12.0,50.0,3,-0.27195815753410524,0.9623090774541487,-2.4492935982947064e-16,1.0,1.406934306569343,15.1998,0.6,29.0836,1770.0199999999998,2536.5899999999997,9870.0,11482.1,394.79999999999995,1645.0,-8.947423382872062,31.65996864824149,-8.058175938389584e-15,32.9,46.28813868613138,500.07342,19.74,47.5592,68.15639999999999,265.2,308.516,10.608,44.2,1082.4099999999999,5.735852159879995,0.781456,0.9402127418834527,2894.4399999999996,7.334848328356899,5944.409999999999,8.780660567406077,90000.0,17.320508075688775,Digitaria
0,5,0,30.2,0.494,27.7,10.7,2,3,150.0,0,123,271.0,9.0,39.0,0,-0.9988797155850335,-0.04732138832243232,-1.0,-1.8369701987210297e-16,0.37282229965156793,21.834600000000002,0.8,14.9188,836.54,323.14,4530.0,8184.2,271.8,1177.8,-30.166167410668013,-1.429105927337456,-30.2,-5.54765000013751e-15,11.259233449477351,659.4049200000001,24.16,13.6838,5.285799999999999,74.1,133.874,4.446,19.266,912.04,5.495452665613635,0.244036,0.7028513356322231,767.29,5.263078946776307,114.48999999999998,3.271085446759225,22500.0,12.24744871391589,Cyperus
16,0,0,40.1,0.363,36.1,7.5,2,3,50.0,0,134,107.0,4.0,16.0,1,0.9634705485641488,-0.2678143051621742,0.8660254037844387,-0.4999999999999998,0.20215633423180593,25.6239,0.6,14.5563,1447.6100000000001,300.75,2005.0,4290.7,160.4,641.6,38.63516899742237,-10.739353637003186,34.72761869175599,-20.04999999999999,8.106469002695418,1027.51839,24.06,13.1043,2.7225,18.15,38.841,1.452,5.808,1608.0100000000002,6.332456079595025,0.131769,0.6024948132556828,1303.21,6.008327554319921,56.25,2.7386127875258306,2500.0,7.0710678118654755,No_weed
29,5,1,34.4,0.607,21.3,72.8,0,1,400.0,1,145,72.0,3.0,11.0,1,0.9455963874271426,0.3253420847119801,1.0,6.123233995736766e-17,3.26457399103139,27.0728,0.8,20.880799999999997,732.72,2504.3199999999997,13760.0,2476.7999999999997,103.19999999999999,378.4,32.528515727493705,11.191767714092116,34.4,2.1063924945334474e-15,112.3013452914798,931.30432,27.52,12.9291,44.1896,242.79999999999998,43.704,1.821,6.677,1183.36,5.865151319446072,0.36844899999999997,0.7791020472312982,453.69000000000005,4.61519230368573,5299.839999999999,8.532291603080617,160000.0,20.0,Amaranthus
28,5,3,37.1,0.292,86.8,49.5,0,0,400.0,1,156,189.0,7.0,27.0,2,-0.11165900712169444,-0.9937465804361781,-0.4999999999999997,-0.8660254037844388,0.5637813211845103,4.8972000000000016,0.8,10.8332,3220.28,1836.45,14840.0,7011.900000000001,259.7,1001.7,-4.142549164214864,-36.86799813418221,-18.54999999999999,-32.129542480402684,20.916287015945333,181.68612000000007,29.680000000000003,25.345599999999997,14.453999999999999,116.8,55.187999999999995,2.044,7.8839999999999995,1376.41,6.0909769331364245,0.08526399999999999,0.5403702434442518,7534.24,9.316651759081692,2450.25,7.035623639735144,160000.0,20.0,No_weed
28,1,3,16.3,0.161,57.5,68.8,0,4,300.0,1,167,21.0,1.0,3.0,3,0.3536761221763716,0.9353679493131483,0.49999999999999994,0.8660254037844387,1.176068376068376,6.9275,0.6,2.6243000000000003,937.25,1121.44,4890.0,342.3,16.3,48.900000000000006,5.764920791474857,15.246497573804318,8.149999999999999,14.116214081686351,19.169914529914532,112.91825000000001,9.78,9.2575,11.0768,48.300000000000004,3.3810000000000002,0.161,0.483,265.69,4.03732584763727,0.025921000000000003,0.4012480529547776,3306.25,7.582875444051551,4733.44,8.294576541331088,90000.0,17.320508075688775,Cyperus
25,5,1,12.1,0.203,41.1,43.5,0,4,300.0,1,178,103.0,4.0,15.0,1,0.9796136916454901,-0.20089055513063506,0.8660254037844387,-0.4999999999999998,1.033254156769596,7.126899999999999,0.8,2.4563,497.31,526.35,3630.0,1246.3,48.4,181.5,11.85332566891043,-2.4307757170806843,10.478907385791707,-6.049999999999997,12.502375296912112,86.23548999999998,9.68,8.343300000000001,8.8305,60.900000000000006,20.909000000000002,0.812,3.0450000000000004,146.41,3.478505426185217,0.041209,0.4505552130427524,1689.21,6.410928169929843,1892.25,6.59545297913646,90000.0,17.320508075688775,Amaranthus
16,2,0,35.0,0.202,46.6,24.6,0,3,400.0,2,189,122.0,5.0,18.0,1,0.8631421280499114,-0.5049610547215204,0.49999999999999994,-0.8660254037844387,0.5168067226890757,18.69,0.9,7.07,1631.0,861.0,14000.0,4270.0,175.0,630.0,30.2099744817469,-17.673636915253216,17.499999999999996,-30.310889132455355,18.08823529411765,654.1500000000001,31.5,9.413200000000002,4.969200000000001,80.80000000000001,24.644000000000002,1.01,3.636,1225.0,5.916079783099616,0.04080400000000001,0.44944410108488464,2171.56,6.826419266350405,605.1600000000001,4.959838707054898,160000.0,20.0,Digitaria
24,2,0,37.3,0.222,90.3,81.9,0,3,300.0,1,1,215.0,8.0,31.0,2,-0.5307300481619331,-0.8475409228928312,-0.8660254037844385,-0.5000000000000004,0.8970427163198248,3.6181000000000005,0.9,8.2806,3368.1899999999996,3054.87,11190.0,8019.499999999999,298.4,1156.3,-19.796230796440106,-31.6132764239026,-32.302747561159556,-18.650000000000016,33.459693318729464,134.95513,33.57,20.046599999999998,18.181800000000003,66.6,47.730000000000004,1.776,6.882,1391.2899999999997,6.107372593840988,0.049284,0.47116875957558985,8154.089999999999,9.50263121456368,6707.610000000001,9.049861877399014,90000.0,17.320508075688775,Cyperus
