date,location,crop_type,growth_stage,temperature_c,humidity_pct,leaf_wetness_hours,ndvi,lesion_count_per_leaf,severity_percent,disease_label,recommended_treatment,pesticide,application_rate,notes,image_path
2024-09-08,Field_21,Maize,Flowering,30.5,78.8,31.6,0.379,2,13.8,Septoria,Fungicide spray,Copper Oxychloride,150 g/ha,Auto-labeled with heuristic rules,images/disease_1.jpg
2024-03-22,Field_11,Tomato,Vegetative,23.5,34.6,36.8,0.253,3,23.8,Healthy,None,Azoxystrobin,250 g/ha,Auto-labeled with heuristic rules,images/disease_2.jpg
2024-08-19,Field_4,Rice,Flowering,27.8,35.2,40.6,0.226,6,19.2,Septoria,Fungicide spray,None,150 g/ha,Auto-labeled with heuristic rules,images/disease_3.jpg
2024-08-14,Field_10,Potato,Seedling,17.9,53.1,29.5,0.177,6,35.4,Anthracnose,Fungicide spray,None,200 g/ha,Auto-labeled with heuristic rules,images/disease_4.jpg
2024-08-20,Field_14,Tomato,Seedling,21.8,91.2,4.3,0.61,5,21.0,Anthracnose,Fungicide spray,None,200 g/ha,Auto-labeled with heuristic rules,images/disease_5.jpg
2024-08-08,Field_6,Potato,Ripening,30.5,73.5,23.4,0.753,4,18.1,Septoria,Fungicide spray,None,200 g/ha,Auto-labeled with heuristic rules,images/disease_6.jpg
2024-02-11,Field_15,Potato,Seedling,21.5,74.1,3.7,0.57,3,12.3,Anthracnose,Fungicide spray,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_7.jpg
2024-01-21,Field_1,Rice,Seedling,18.9,53.5,19.6,0.182,1,0.0,Septoria,Fungicide spray,Copper Oxychloride,200 g/ha,Auto-labeled with heuristic rules,images/disease_8.jpg
2024-02-11,Field_24,Soybean,Vegetative,22.4,68.6,19.5,0.78,4,23.8,Anthracnose,Fungicide spray,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_9.jpg
2024-04-22,Field_29,Maize,Ripening,30.7,30.7,3.2,0.622,3,32.7,Healthy,None,None,150 g/ha,Auto-labeled with heuristic rules,images/disease_10.jpg
2024-04-14,Field_24,Rice,Vegetative,18.4,71.3,16.7,0.399,4,21.5,Septoria,Fungicide spray,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_11.jpg
2024-07-10,Field_9,Tomato,Flowering,14.3,89.4,5.3,0.657,2,1.2,Septoria,Fungicide spray,Azoxystrobin,250 g/ha,Auto-labeled with heuristic rules,images/disease_12.jpg
2024-01-17,Field_17,Soybean,Seedling,27.8,69.8,38.8,0.284,2,22.2,Healthy,None,Mancozeb,0,Auto-labeled with heuristic rules,images/disease_13.jpg
2024-04-29,Field_25,Tomato,Flowering,30.6,86.8,45.5,0.361,4,9.0,Late Blight,Copper fungicide + remove infected,Copper Oxychloride,3 kg/ha,High risk for Phytophthora,images/disease_14.jpg
2024-05-08,Field_6,Soybean,Vegetative,12.5,77.1,3.5,0.876,4,12.3,Healthy,None,Copper Oxychloride,150 g/ha,Auto-labeled with heuristic rules,images/disease_15.jpg
2024-05-09,Field_17,Tomato,Seedling,16.0,37.8,45.8,0.311,1,11.1,Septoria,Fungicide spray,Copper Oxychloride,250 g/ha,Auto-labeled with heuristic rules,images/disease_16.jpg
2024-02-29,Field_30,Rice,Seedling,13.5,88.7,25.1,0.473,2,17.0,Blast,Fungicide spray,Tricyclazole,250 g/ha,Warm + wet conditions favored blast,images/disease_17.jpg
2024-02-17,Field_4,Soybean,Vegetative,18.7,34.3,14.4,0.851,4,13.9,Anthracnose,Fungicide spray,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_18.jpg
2024-01-29,Field_28,Soybean,Vegetative,21.3,64.7,3.7,0.687,2,13.8,Anthracnose,Fungicide spray,Copper Oxychloride,150 g/ha,Auto-labeled with heuristic rules,images/disease_19.jpg
2024-04-06,Field_21,Potato,Vegetative,28.7,39.2,24.0,0.106,3,24.7,Healthy,None,Copper Oxychloride,250 g/ha,Auto-labeled with heuristic rules,images/disease_20.jpg
2024-01-10,Field_10,Potato,Vegetative,26.3,30.8,38.1,0.183,5,31.8,Healthy,None,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_21.jpg
