date,location,crop_type,growth_stage,soil_moisture_pct,ndvi,canopy_cover_pct,weed_density_plants_per_m2,dominant_weed_species,recommended_action,herbicide,dosage_ml_per_ha,manual_removal_required,image_path
2024-04-12,Field_21,Rice,Maturity,9.7,0.467,67.5,33.4,No_weed,Broadcast spray,"2,4-D",200,No,images/weed_1.jpg
2024-12-14,Field_4,Maize,Flowering,32.9,0.884,53.8,77.1,Digitaria,Broadcast spray,Glyphosate,300,Yes,images/weed_2.jpg
2024-09-27,Field_1,Wheat,Flowering,30.2,0.494,27.7,10.7,Cyperus,Spot treatment,Glyphosate,150,Maybe,images/weed_3.jpg
2024-04-16,Field_24,Cotton,Flowering,40.1,0.363,36.1,7.5,No_weed,Spot treatment,Glyphosate,50,Maybe,images/weed_4.jpg
2024-03-12,Field_9,Wheat,Maturity,34.4,0.607,21.3,72.8,Amaranthus,Broadcast spray,Atrazine,400,No,images/weed_5.jpg
2024-07-07,Field_8,Wheat,Vegetative,37.1,0.292,86.8,49.5,No_weed,Broadcast spray,"2,4-D",400,No,images/weed_6.jpg
2024-01-21,Field_8,Maize,Vegetative,16.3,0.161,57.5,68.8,Cyperus,Broadcast spray,Metribuzin,300,No,images/weed_7.jpg
2024-04-12,Field_5,Wheat,Maturity,12.1,0.203,41.1,43.5,Amaranthus,Broadcast spray,Metribuzin,300,No,images/weed_8.jpg
2024-05-01,Field_24,Rice,Flowering,35.0,0.202,46.6,24.6,Digitaria,Broadcast spray,Glyphosate,400,Yes,images/weed_9.jpg
2024-08-02,Field_4,Rice,Flowering,37.3,0.222,90.3,81.9,Cyperus,Broadcast spray,Glyphosate,300,No,images/weed_10.jpg
2024-11-26,Field_22,Soybean,Vegetative,44.6,0.211,18.8,79.9,Amaranthus,Broadcast spray,Glyphosate,400,Yes,images/weed_11.jpg
2024-03-28,Field_24,Tomato,Flowering,21.5,0.613,57.8,69.5,Cyperus,Broadcast spray,Glyphosate,200,Yes,images/weed_12.jpg
2024-04-09,Field_29,Cotton,Seedling,19.9,0.246,50.5,27.2,Digitaria,Broadcast spray,Metribuzin,400,Yes,images/weed_13.jpg
