temperature,humidity,rainfall,growth_duration,label
38.84,52.82,28.45,117,Summer
24.71,73.39,72.69,118,Autumn
18.64,63.8,22.93,146,Winter
30.4,90.54,249.84,125,Monsoon
17.73,72.19,101.56,130,Autumn
23.31,56.5,81.46,122,Spring
29.09,53.75,23.88,120,Summer
12.68,58.8,38.25,139,Winter
22.77,74.72,70.99,119,Autumn
38.75,22.64,13.51,158,Summer
22.84,82.72,95.05,128,Autumn
25.52,68.8,335.63,145,Monsoon
26.57,74.92,86.8,144,Autumn
24.36,52.47,20.07,153,Winter
37.8,53.31,14.76,105,Summer
9.89,58.89,61.88,90,Winter
29.99,69.06,245.81,118,Monsoon
25.77,48.09,49.84,141,Spring
26.05,78.53,270.87,124,Monsoon
23.04,62.08,38.57,147,Spring
31.16,80.3,313.92,151,Monsoon
29.85,86.74,295.28,145,Monsoon
23.92,73.75,271.12,130,Monsoon
21.89,61.96,115.71,120,Autumn
18.57,76.34,118.93,149,Autumn
18.13,64.54,46.13,98,Winter
27.35,51.83,77.27,112,Spring
19.77,74.13,110.57,156,Autumn
40.18,46.65,17.57,157,Summer
20.6,78.08,101.95,161,Autumn
18.89,47.19,39.05,120,Winter
29.33,100.0,271.83,101,Monsoon
15.52,71.91,52.9,130,Winter
33.74,20.96,11.45,165,Summer
24.06,49.69,71.2,146,Spring
13.77,37.9,22.9,147,Winter
28.69,83.63,334.85,105,Monsoon
25.89,93.02,287.02,177,Monsoon
19.34,40.58,5.96,142,Winter
32.7,54.27,26.56,100,Summer
14.4,58.64,19.91,145,Winter
23.39,49.77,18.65,127,Spring
21.81,56.99,61.92,124,Spring
12.14,60.99,75.72,127,Winter
21.95,55.76,58.41,116,Spring
25.2,49.89,61.92,127,Spring
16.09,66.92,35.85,178,Winter
26.06,57.42,30.79,174,Winter
25.6,73.49,85.65,92,Autumn
32.25,79.18,192.43,100,Monsoon
25.72,78.71,70.38,103,Autumn
27.51,77.17,229.99,132,Monsoon
25.52,79.77,95.93,133,Autumn
34.69,31.74,28.51,158,Summer
27.14,78.1,88.56,113,Autumn
25.03,50.78,55.61,145,Spring
8.27,75.04,0.0,92,Winter
26.38,72.18,75.49,176,Autumn
26.38,76.92,273.92,162,Monsoon
12.78,59.93,13.88,123,Winter
28.48,42.58,29.41,111,Summer
14.94,45.31,31.45,170,Winter
25.43,48.53,43.6,141,Spring
19.93,48.87,56.17,150,Spring
24.98,92.64,261.34,131,Monsoon
31.9,53.78,24.08,163,Summer
24.61,47.95,60.67,101,Spring
21.9,72.45,76.99,172,Autumn
27.44,79.86,264.84,101,Monsoon
18.2,51.69,2.21,173,Winter
26.88,92.0,258.6,131,Monsoon
36.89,32.82,22.01,93,Summer
27.23,89.69,338.16,129,Monsoon
25.95,54.75,28.0,91,Spring
35.08,58.28,21.92,106,Summer
22.32,58.16,20.57,137,Winter
23.42,50.45,49.48,177,Spring
37.12,35.22,25.07,172,Summer
23.91,51.7,52.15,173,Spring
18.17,59.03,36.94,138,Winter
28.98,89.05,270.35,155,Monsoon
35.83,54.25,25.74,138,Summer
20.38,72.05,56.12,141,Autumn
21.96,53.31,58.81,141,Spring
25.73,71.85,83.04,123,Autumn
9.98,57.7,17.67,162,Winter
19.41,78.58,124.34,141,Autumn
24.96,81.18,76.18,171,Autumn
24.1,53.48,48.07,109,Spring
23.13,48.92,15.25,128,Winter
43.77,51.92,9.47,94,Summer
26.45,40.94,23.36,104,Summer
42.86,35.74,14.2,164,Summer
24.48,76.73,290.06,91,Monsoon
5.0,51.39,0.0,95,Winter
31.83,49.75,4.7,128,Summer
31.93,43.07,26.94,160,Summer
16.18,63.21,52.24,136,Winter
21.78,82.55,237.44,115,Monsoon
26.6,51.81,22.02,145,Spring
29.71,68.65,43.05,91,Autumn
26.71,75.86,71.81,145,Autumn
30.76,83.47,321.75,98,Monsoon
28.8,76.16,45.58,123,Autumn
18.58,73.41,70.28,142,Autumn
24.92,76.88,75.38,128,Autumn
40.27,42.62,8.31,149,Summer
12.88,77.31,22.13,124,Winter
20.66,86.04,245.93,95,Monsoon
25.57,86.19,221.18,156,Monsoon
24.41,62.97,49.97,100,Spring
28.36,57.3,36.16,175,Spring
11.58,57.88,49.18,149,Winter
29.53,86.55,252.09,120,Monsoon
32.41,84.37,224.15,149,Monsoon
33.79,44.94,11.97,146,Summer
23.85,77.86,85.16,146,Autumn
19.34,60.07,19.24,96,Spring
28.36,45.8,55.0,144,Spring
38.21,39.21,8.76,110,Summer
31.59,85.55,266.94,116,Monsoon
24.4,79.69,67.91,161,Autumn
32.46,33.51,24.84,132,Summer
25.48,59.78,32.08,110,Spring
21.01,48.36,78.06,116,Spring
23.8,76.52,76.33,165,Autumn
10.99,61.48,22.98,176,Winter
23.56,99.72,326.83,128,Monsoon
29.75,78.81,313.56,167,Monsoon
26.63,79.88,168.89,130,Monsoon
24.29,54.49,57.17,161,Spring
24.55,47.69,50.0,127,Spring
23.12,46.33,38.92,90,Spring
23.76,72.67,114.38,141,Autumn
35.21,88.84,207.89,168,Monsoon
29.23,49.77,82.82,147,Spring
18.65,65.4,23.34,177,Winter
31.2,53.3,54.9,118,Spring
22.51,67.21,268.86,137,Monsoon
17.56,48.82,33.66,98,Winter
34.67,62.36,21.6,122,Summer
30.31,76.62,72.85,133,Autumn
25.73,55.3,55.57,119,Spring
32.84,85.89,233.3,160,Monsoon
28.72,78.4,196.98,130,Monsoon
35.36,38.05,28.96,146,Summer
29.41,31.46,18.67,152,Summer
25.24,52.85,48.22,137,Spring
28.96,63.57,41.46,145,Spring
36.83,49.97,10.26,132,Summer
23.65,54.9,62.16,120,Winter
30.82,82.61,175.15,158,Monsoon
30.23,98.93,221.08,108,Monsoon
29.0,88.76,195.98,132,Monsoon
30.5,88.54,206.1,146,Monsoon
31.11,80.12,182.54,175,Monsoon
24.32,82.79,95.51,176,Autumn
29.41,49.44,29.33,154,Spring
27.7,50.01,29.25,142,Spring
31.68,94.81,264.96,119,Monsoon
29.12,31.12,18.35,159,Summer
18.83,83.23,29.41,112,Winter
25.65,80.58,119.03,107,Autumn
25.86,76.58,101.5,173,Autumn
21.74,36.84,44.35,158,Winter
28.79,74.2,249.68,150,Monsoon
27.73,87.31,229.08,166,Monsoon
22.49,63.87,82.49,168,Autumn
20.39,47.45,27.56,102,Spring
15.76,57.7,44.76,99,Winter
27.08,59.73,23.04,135,Spring
8.61,58.0,42.65,120,Winter
28.2,52.42,39.9,154,Spring
15.13,73.5,19.73,103,Winter
36.09,47.78,9.1,99,Summer
14.43,60.85,6.06,168,Winter
13.12,62.99,58.03,159,Winter
21.76,44.88,34.3,151,Winter
37.83,30.0,25.89,165,Summer
36.81,20.0,25.31,172,Summer
21.16,61.57,48.99,175,Winter
30.2,79.44,76.71,104,Autumn
25.58,76.95,227.67,90,Monsoon
29.92,76.73,268.48,144,Monsoon
22.5,73.28,80.07,168,Autumn
16.34,58.3,12.68,103,Winter
34.67,50.06,8.65,98,Summer
34.18,85.54,307.78,109,Monsoon
23.95,74.41,96.65,108,Autumn
14.16,73.18,10.64,177,Winter
22.23,70.67,71.57,116,Autumn
31.9,43.98,31.6,129,Summer
23.83,63.68,38.76,173,Spring
5.0,61.37,30.4,160,Winter
19.94,66.62,75.88,145,Autumn
