crop,temperature,humidity,rainfall,growth_duration,area,water_requirement
Potato,32.18,24.76,13.4,100,1.0,1.0
Tomato,38.69,32.49,1.55,120,1.0,4.01
Wheat,22.44,40.86,7.47,120,1.0,1.0
Cotton,19.41,83.43,5.79,180,1.0,1.0
Wheat,29.78,77.83,2.07,120,1.0,1.46
Potato,17.66,73.94,18.85,100,1.0,1.0
Maize,30.16,81.23,16.05,110,1.0,1.0
Potato,19.51,30.26,4.97,100,1.0,1.0
Sugarcane,26.62,78.62,12.67,365,1.0,1.0
Banana,17.9,75.4,8.06,365,1.0,1.0
Banana,31.41,28.41,3.54,365,1.0,3.3
Onion,40.66,75.05,3.45,130,1.0,1.61
Wheat,21.6,24.19,14.47,120,1.0,1.0
Chickpea,40.52,76.22,15.27,100,1.0,1.0
Maize,38.29,80.55,0.69,110,1.0,3.03
Rice,22.14,62.19,3.8,150,1.0,1.25
Potato,42.97,51.6,2.34,100,1.0,3.07
Wheat,15.44,61.82,17.77,120,1.0,1.0
Potato,21.0,54.07,17.92,100,1.0,1.0
Chickpea,16.82,42.48,18.77,100,1.0,1.0
Onion,15.25,81.52,9.51,130,1.0,1.0
Maize,31.83,69.01,19.91,110,1.0,1.0
Chickpea,31.08,81.4,6.56,100,1.0,1.0
Maize,16.25,68.0,13.38,110,1.0,1.0
Sugarcane,21.87,67.5,7.56,365,1.0,1.0
Tomato,21.76,79.52,4.28,120,1.0,1.0
Chickpea,16.27,73.33,9.93,100,1.0,1.0
Banana,29.12,49.1,18.27,365,1.0,1.0
Rice,37.69,30.08,17.19,150,1.0,1.0
Tomato,32.45,35.04,15.64,120,1.0,1.0
Banana,35.76,49.19,4.39,365,1.0,2.91
Tomato,44.5,57.44,17.3,120,1.0,1.0
Cotton,32.96,66.03,14.04,180,1.0,1.0
Cotton,39.1,53.25,0.23,180,1.0,3.88
Chickpea,41.04,36.55,3.62,100,1.0,1.72
Onion,23.37,20.59,2.8,130,1.0,1.39
Chickpea,17.44,43.73,4.87,100,1.0,1.0
Wheat,38.2,86.24,3.77,120,1.0,1.13
Sugarcane,26.01,61.74,0.86,365,1.0,2.85
Chickpea,24.9,54.05,1.88,100,1.0,1.0
Banana,28.21,35.45,1.82,365,1.0,3.48
Sugarcane,30.5,81.24,6.81,365,1.0,1.0
Maize,32.29,84.43,1.63,110,1.0,1.9
Onion,43.55,68.68,19.68,130,1.0,1.0
Wheat,40.06,81.46,5.08,120,1.0,1.0
Wheat,39.22,70.34,15.96,120,1.0,1.0
Rice,40.99,53.72,19.04,150,1.0,1.0
Potato,36.3,39.21,7.98,100,1.0,1.0
Wheat,27.94,52.38,12.44,120,1.0,1.0
Rice,44.58,52.53,7.05,150,1.0,3.24
Chickpea,15.39,62.14,12.97,100,1.0,1.0
Wheat,35.13,82.67,10.64,120,1.0,1.0
Tomato,20.72,68.78,11.47,120,1.0,1.0
Onion,16.08,75.5,19.2,130,1.0,1.0
Onion,24.65,27.35,17.83,130,1.0,1.0
Potato,32.11,32.98,12.91,100,1.0,1.0
Banana,28.56,79.86,10.75,365,1.0,1.0
Sugarcane,38.24,30.34,8.4,365,1.0,1.71
Cotton,23.8,61.38,4.64,180,1.0,1.0
Maize,44.21,25.74,4.69,110,1.0,3.5
Cotton,37.98,80.79,5.62,180,1.0,1.0
Tomato,30.16,67.96,18.98,120,1.0,1.0
