crop,temperature,humidity,rainfall,area,water_requirement
Almond,24.53,87.59,9.04,1.0,1.04
Almond,20.09,70.13,0.75,1.0,1.12
Almond,39.68,89.75,8.76,1.0,1.13
Almond,29.06,67.28,6.15,1.0,1.21
Almond,27.34,88.89,9.44,1.0,1.05
Almond,32.28,50.45,4.25,1.0,1.34
Almond,28.23,50.77,5.86,1.0,1.31
Almond,33.7,80.44,9.53,1.0,1.15
Almond,16.72,47.11,4.35,1.0,1.24
Almond,29.9,79.84,3.49,1.0,1.13
Almond,36.44,29.55,1.08,1.0,1.52
Almond,15.66,50.37,4.11,1.0,1.21
Almond,19.5,51.56,1.88,1.0,1.23
Almond,33.7,36.6,10.6,1.0,1.45
Almond,39.26,87.12,1.51,1.0,1.14
Almond,38.2,73.94,3.51,1.0,1.23
Almond,35.5,68.42,2.72,1.0,1.25
Almond,36.37,88.46,5.2,1.0,1.12
Almond,19.69,64.04,1.58,1.0,1.16
Almond,22.79,35.11,10.81,1.0,1.36
Almond,20.82,49.59,10.05,1.0,1.25
Almond,39.39,55.82,3.64,1.0,1.37
Almond,24.56,39.44,11.34,1.0,1.35
Almond,31.35,38.91,7.06,1.0,1.41
Almond,26.2,71.97,8.85,1.0,1.15
Almond,25.73,60.37,3.47,1.0,1.23
Almond,15.59,73.69,9.21,1.0,1.07
Almond,30.74,64.43,6.25,1.0,1.24
Almond,21.07,44.5,9.39,1.0,1.29
Almond,31.02,63.34,11.27,1.0,1.25
Almond,33.22,65.37,2.27,1.0,1.25
Almond,37.08,39.19,5.13,1.0,1.46
Almond,24.52,89.27,13.81,1.0,1.03
Almond,31.85,88.4,2.33,1.0,1.09
Almond,39.81,40.5,2.26,1.0,1.48
Almond,25.91,29.37,11.33,1.0,1.43
Almond,25.57,82.73,12.94,1.0,1.08
Almond,19.37,88.99,3.06,1.0,1.0
Almond,29.06,78.86,10.07,1.0,1.13
Almond,32.35,24.56,9.49,1.0,1.52
Almond,23.48,70.83,14.14,1.0,1.14
Almond,26.98,70.66,12.19,1.0,1.17
Almond,19.78,33.52,3.68,1.0,1.35
Almond,35.14,88.48,3.78,1.0,1.11
Almond,32.34,54.01,13.0,1.0,1.32
Almond,15.5,75.28,0.04,1.0,1.06
Almond,38.41,33.18,0.04,1.0,1.52
Almond,25.97,76.71,2.4,1.0,1.12
Almond,34.54,47.33,3.72,1.0,1.38
Almond,20.56,68.14,6.52,1.0,1.14
Apple,22.53,58.72,0.52,1.0,1.21
Apple,36.59,70.67,5.17,1.0,1.24
Apple,20.96,64.17,8.34,1.0,1.16
Apple,23.2,50.54,7.06,1.0,1.27
Apple,33.47,60.83,14.41,1.0,1.28
