record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,N,P,K,ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall,avg_temp_c,temperature,humidity,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target,ndvi_seq_mean,ndvi_seq_std,ndvi_seq_slope
1,TN009,12.23,84.83,FLD00001,9012,Rice,Cereal,Kharif,Plateau,206.0,49.0,239.0,6.0,0.7,4.0,22,9.5,1167,1015,389,754,890.0,30.2,30.2,71.0,5.6,1.12,0.6,0.68,0.024,0.56,0.53,0.57,0.61,0.64,0.68,0.46,0.45,0.29,0.3,154,16.0,1.0,Rice,2248.0,0.0,Kharif,0.5983333333333334,0.05079916884709391,0.027714285714285733
2,GJ036,19.19,72.5,FLD00002,11201,Rice,Cereal,Kharif,Plateau,255.0,48.0,216.0,7.0,0.84,4.0,27,13.4,731,673,289,454,595.0,28.7,28.7,67.0,6.3,1.12,0.6,0.66,0.018,0.55,0.56,0.55,0.64,0.66,0.64,0.47,0.47,0.35,0.32,145,13.0,0.0,Rice,2742.0,0.0,Kharif,0.6000000000000001,0.04725815626252607,0.024
3,MH021,32.68,76.12,FLD00003,18464,Rice,Cereal,Kharif,Mountain,282.0,36.0,178.0,6.2,0.95,0.0,30,8.7,2944,2440,1066,1687,2138.0,18.6,18.6,77.0,5.4,1.12,0.6,0.66,0.014,0.56,0.54,0.56,0.66,0.65,0.63,0.46,0.45,0.32,0.34,157,15.0,1.0,Rice,4251.0,0.0,Kharif,0.6,0.04795831523312718,0.022285714285714263
4,AP036,17.63,89.92,FLD00004,13669,Rice,Cereal,Kharif,Humid,182.0,49.0,184.0,7.2,0.76,3.0,30,5.6,2090,1633,490,1215,1470.0,27.9,27.9,77.0,6.5,1.12,0.6,0.67,0.022,0.56,0.53,0.58,0.63,0.63,0.67,0.48,0.46,0.31,0.26,164,11.0,1.0,Rice,3240.0,0.0,Kharif,0.6,0.04760952285695233,0.02571428571428571
5,AP016,28.58,87.57,FLD00005,18626,Rice,Cereal,Kharif,Arid,194.0,35.0,180.0,6.0,0.73,4.0,37,22.7,282,248,109,156,233.0,33.2,33.2,48.0,5.9,1.12,0.6,0.68,0.022,0.55,0.54,0.58,0.62,0.68,0.66,0.46,0.44,0.26,0.32,170,14.0,1.0,Rice,4837.0,0.0,Kharif,0.6050000000000001,0.05283622494715787,0.028857142857142876
6,MH022,24.16,71.18,FLD00006,6104,Rice,Cereal,Kharif,Arid,198.0,44.0,200.0,6.4,0.73,5.0,24,22.2,475,410,152,310,366.0,34.8,34.8,55.0,5.3,1.12,0.6,0.66,0.018,0.54,0.57,0.55,0.64,0.66,0.63,0.47,0.49,0.27,0.27,143,15.0,1.0,Rice,1377.0,0.0,Kharif,0.5983333333333333,0.046696419087073,0.023142857142857107
7,GJ029,13.67,79.25,FLD00007,19327,Rice,Cereal,Kharif,Humid,320.0,31.0,176.0,7.1,0.76,4.0,22,9.6,2938,2342,845,1630,1991.0,28.5,28.5,81.0,6.4,1.12,0.61,0.69,0.032,0.53,0.56,0.57,0.62,0.68,0.69,0.45,0.48,0.28,0.28,145,12.0,0.0,Rice,4732.0,0.0,Kharif,0.6083333333333334,0.06039223643997812,0.03457142857142854
8,HR031,8.85,74.77,FLD00008,5821,Rice,Cereal,Kharif,Coastal,308.0,44.0,190.0,5.9,0.74,2.0,25,6.4,939,831,278,518,757.0,30.7,30.7,70.0,5.4,1.12,0.6,0.66,0.02,0.55,0.55,0.56,0.61,0.66,0.65,0.46,0.46,0.32,0.3,159,15.0,0.0,Rice,1328.0,0.0,Kharif,0.5966666666666667,0.0460675832036175,0.02514285714285711
9,PB014,21.98,88.42,FLD00009,6200,Rice,Cereal,Kharif,Coastal,309.0,36.0,186.0,7.7,0.92,6.0,31,7.7,1697,1555,630,1123,1448.0,31.0,31.0,80.0,6.0,1.12,0.61,0.68,0.02,0.57,0.52,0.59,0.61,0.68,0.67,0.47,0.44,0.27,0.3,140,7.0,2.0,Rice,1556.0,0.0,Kharif,0.6066666666666666,0.05557777333511024,0.028571428571428626
10,MH006,20.11,75.02,FLD00010,19879,Rice,Cereal,Kharif,Sub-Humid,288.0,36.0,175.0,5.8,0.87,0.0,28,8.8,1076,925,336,556,836.0,27.2,27.2,70.0,6.3,1.12,0.6,0.68,0.026,0.55,0.52,0.55,0.62,0.68,0.68,0.48,0.45,0.28,0.29,168,9.0,0.0,Rice,4402.0,0.0,Kharif,0.6000000000000001,0.06403124237432849,0.0342857142857143
11,KA016,20.38,76.63,FLD00011,15168,Rice,Cereal,Kharif,Coastal,221.0,33.0,222.0,5.8,0.85,3.0,33,10.8,2569,2304,776,1455,2009.0,30.1,30.1,77.0,5.6,1.12,0.6,0.66,0.024,0.53,0.56,0.59,0.61,0.66,0.65,0.44,0.46,0.34,0.29,141,4.0,2.0,Rice,3556.0,0.0,Kharif,0.6,0.04618802153517006,0.026285714285714298
12,AP012,30.36,93.78,FLD00012,6889,Rice,Cereal,Kharif,Mountain,247.0,29.0,183.0,7.0,0.67,2.0,30,10.5,2994,2314,1006,1476,2091.0,16.4,16.4,85.0,5.7,1.12,0.6,0.68,0.03,0.53,0.52,0.58,0.62,0.64,0.68,0.46,0.44,0.3,0.31,156,14.0,1.0,Rice,1566.0,0.0,Kharif,0.5950000000000001,0.05766281297335398,0.032857142857142876
13,KA040,9.78,76.91,FLD00013,11211,Rice,Cereal,Kharif,Coastal,257.0,40.0,240.0,7.5,0.65,6.0,33,10.7,2042,1798,664,1237,1660.0,28.6,28.6,82.0,5.7,1.12,0.6,0.68,0.022,0.53,0.56,0.58,0.6,0.68,0.64,0.44,0.49,0.28,0.26,168,5.0,1.0,Rice,2844.0,0.0,Kharif,0.5983333333333334,0.04980517599161312,0.026571428571428586
14,HR013,25.73,83.29,FLD00014,15318,Rice,Cereal,Kharif,Mountain,278.0,43.0,221.0,6.3,0.81,4.0,23,13.2,1796,1410,625,992,1262.0,16.5,16.5,63.0,5.4,1.12,0.62,0.68,0.024,0.55,0.57,0.58,0.65,0.68,0.67,0.47,0.48,0.34,0.31,167,4.0,0.0,Rice,3895.0,0.0,Kharif,0.6166666666666667,0.05153208277913438,0.028571428571428522
