record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,soil_n,soil_p,soil_k,soil_ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall_effective_mm,avg_temp_c,temperature_avg_c,humidity_pct,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target,sowing_day_of_year_num
2852,UP021,26.0,83.72,FLD02852,13380,Sugarcane,Commercial,Year-round,Semi-Arid,288,40,212,6.7,0.52,Clay Loam,22,15.1,581,523,196,321,452,29.0,29.0,68,5.8,1.17,0.63,0.71,0.02,0.59,0.57,0.59,0.65,0.71,0.69,0.5,0.49,0.28,0.26,143,Grand growth,Drip,Sugarcane,72187,0,Kharif,143
2854,UP044,30.75,83.27,FLD02854,12288,Sugarcane,Commercial,Year-round,Mountain,307,33,238,7.6,0.93,Sandy,34,12.3,2121,1833,711,1128,1624,22.1,22.1,62,5.7,1.17,0.65,0.7,0.016,0.62,0.61,0.62,0.64,0.7,0.7,0.54,0.5,0.33,0.31,145,Grain filling,Drip,Sugarcane,65555,0,Kharif,145
2857,TN023,13.55,77.04,FLD02857,7281,Sugarcane,Commercial,Year-round,Sub-Humid,200,49,206,5.9,0.74,Sandy Clay,35,12.0,1087,926,286,611,816,28.1,28.1,76,6.6,1.17,0.63,0.69,0.024,0.57,0.59,0.61,0.67,0.66,0.69,0.5,0.49,0.34,0.33,165,Mature,Surface,Sugarcane,36633,0,Kharif,165
2860,PB029,29.35,81.26,FLD02860,15342,Sugarcane,Commercial,Year-round,Mountain,218,34,172,6.7,0.64,Loam,36,8.6,2337,1798,798,1127,1538,16.3,16.3,74,5.8,1.17,0.63,0.71,0.026,0.58,0.6,0.59,0.64,0.69,0.71,0.5,0.5,0.33,0.31,157,Fruiting,Sprinkler,Sugarcane,77468,0,Kharif,157
2862,GJ028,25.4,81.58,FLD02862,9005,Sugarcane,Commercial,Year-round,Mountain,252,28,176,7.4,0.72,Sandy Clay,32,10.0,3207,2447,941,1937,2104,19.6,19.6,82,5.6,1.17,0.64,0.69,0.018,0.6,0.6,0.6,0.66,0.68,0.69,0.5,0.52,0.34,0.29,140,Tillering,Sprinkler,Sugarcane,42004,0,Kharif,140
2864,MH023,13.99,77.37,FLD02864,11998,Sugarcane,Commercial,Year-round,Semi-Arid,232,50,223,7.3,0.89,Sandy Loam,29,16.5,819,694,241,527,647,28.7,28.7,63,7.0,1.17,0.64,0.69,0.022,0.57,0.61,0.65,0.69,0.66,0.68,0.48,0.51,0.3,0.3,149,Reproductive,Drip,Sugarcane,65586,0,Kharif,149
2869,KA026,25.09,71.48,FLD02869,9239,Sugarcane,Commercial,Year-round,Semi-Arid,258,44,205,7.2,0.83,Clay Loam,28,10.5,620,474,161,363,428,30.0,30.0,62,6.4,1.17,0.63,0.68,0.02,0.58,0.57,0.62,0.65,0.67,0.68,0.5,0.49,0.28,0.27,160,Grand growth,Drip,Sugarcane,48933,0,Kharif,160
2872,HR034,19.43,78.97,FLD02872,6128,Sugarcane,Commercial,Year-round,Semi-Arid,303,37,173,6.6,0.55,Sandy Loam,35,17.7,625,562,243,346,520,31.4,31.4,60,6.1,1.17,0.63,0.68,0.018,0.59,0.57,0.62,0.64,0.66,0.68,0.49,0.47,0.29,0.3,158,Nut development,Drip,Sugarcane,33562,0,Kharif,158
2873,MH030,10.66,87.32,FLD02873,7404,Sugarcane,Commercial,Year-round,Humid,184,39,195,6.3,0.58,Laterite,24,9.9,2831,2252,889,1736,2030,28.3,28.3,85,6.3,1.17,0.65,0.71,0.028,0.57,0.62,0.63,0.64,0.7,0.71,0.5,0.52,0.28,0.25,166,Boll formation,Drip,Sugarcane,35897,0,Kharif,166
2878,TN050,28.69,79.87,FLD02878,9946,Sugarcane,Commercial,Year-round,Mountain,196,33,185,7.2,0.7,Clay,38,7.2,1146,965,317,707,823,19.9,19.9,80,6.4,1.17,0.65,0.71,0.012,0.6,0.6,0.64,0.67,0.71,0.66,0.52,0.51,0.27,0.3,169,Rhizome development,Sprinkler,Sugarcane,47888,0,Kharif,169
