iter	RMSE
0	1.224428777
1	1.144026179
2	1.069334864
3	1.000932549
4	0.9365328019
5	0.877212152
6	0.8218702471
7	0.7708021311
8	0.7231744341
9	0.6791647819
10	0.6384278729
11	0.600952816
12	0.5666904998
13	0.5346840412
14	0.5053118417
15	0.4787082999
16	0.4537535377
17	0.4307466881
18	0.4098021165
19	0.3904394286
20	0.3729975016
21	0.3565984902
22	0.3418428987
23	0.3285082165
24	0.3161540155
25	0.3050284926
26	0.2948649573
27	0.285833608
28	0.2777040051
29	0.2702709223
30	0.263563997
31	0.257542961
32	0.2522684255
33	0.2475214816
34	0.2432783758
35	0.2394189349
36	0.2359842459
37	0.2328632479
38	0.2301377473
39	0.2277828964
40	0.2255888376
41	0.2236923195
42	0.2219193879
43	0.220386907
44	0.2189056192
45	0.2176205233
46	0.2164978054
47	0.215509241
48	0.2146366367
49	0.2138523736
50	0.2131675378
51	0.2124137614
52	0.2118756086
53	0.2112391416
54	0.2106661123
55	0.2102571312
56	0.209881253
57	0.2094259354
58	0.2091147191
59	0.2088772177
60	0.2085824113
61	0.2083297831
62	0.2080539855
63	0.20776071
64	0.2074835217
65	0.2072634771
66	0.207122299
67	0.2069666486
68	0.2067599287
69	0.2066581525
70	0.2065704169
71	0.2063873389
72	0.2062397162
73	0.2060991788
74	0.2060281381
75	0.205967982
76	0.2059105224
77	0.2058128023
78	0.2057551418
79	0.2056439738
80	0.2055883441
81	0.2055189644
82	0.2054271026
83	0.2053546313
84	0.2053057702
85	0.2052511175
86	0.2051902502
87	0.2051208568
88	0.2050864861
89	0.2050283422
90	0.2049950539
91	0.2049617881
92	0.204930611
93	0.2048954078
94	0.204857033
95	0.2048207369
96	0.2047798147
97	0.2047486937
98	0.2047009925
99	0.2046542215
100	0.2046208071
101	0.2045902959
102	0.2045428282
103	0.2045039395
104	0.2044727673
105	0.204434481
106	0.2043987165
107	0.2043635897
108	0.2043125218
109	0.2042748218
110	0.2042347054
111	0.2041893595
112	0.2041642865
113	0.2041310535
114	0.204092806
115	0.2040573274
116	0.2040317614
117	0.2039956083
118	0.2039707173
119	0.2039270898
