iter	Passed	Remaining
0	4	552
1	8	481
2	11	460
3	15	445
4	18	431
5	22	421
6	25	415
7	29	407
8	32	402
9	36	397
10	40	399
11	44	397
12	47	394
13	50	385
14	54	384
15	59	384
16	63	383
17	67	382
18	71	381
19	75	379
20	79	376
21	83	372
22	87	367
23	90	360
24	92	351
25	95	345
26	98	338
27	101	333
28	104	329
29	108	325
30	112	321
31	116	319
32	120	317
33	124	314
34	128	312
35	132	309
36	136	307
37	141	304
38	145	302
39	149	299
40	153	296
41	157	293
42	161	289
43	165	285
44	168	281
45	172	277
46	176	274
47	181	272
48	185	268
49	189	265
50	194	262
51	198	259
52	201	254
53	203	249
54	206	244
55	209	239
56	212	234
57	215	230
58	217	225
59	220	220
60	224	216
61	227	213
62	231	209
63	235	205
64	238	202
65	241	197
66	244	193
67	247	189
68	250	185
69	254	181
70	258	178
71	261	174
72	263	169
73	266	165
74	269	161
75	272	157
76	275	153
77	278	149
78	281	146
79	285	142
80	288	138
81	291	135
82	294	131
83	297	127
84	299	123
85	302	119
86	305	115
87	308	112
88	311	108
89	314	104
90	317	101
91	320	97
92	323	94
93	326	90
94	329	86
95	332	83
96	336	79
97	340	76
98	343	72
99	347	69
100	350	65
101	353	62
102	356	58
103	358	55
104	361	51
105	364	48
106	368	44
107	372	41
108	375	37
109	379	34
110	383	31
111	386	27
112	389	24
113	392	20
114	395	17
115	399	13
116	402	10
117	406	6
118	409	3
119	412	0
