Question,Answer,question,answer,category,source
What is the best time to plant rice?,"The best time to plant rice depends on your region, but generally it is during the monsoon season between June and July.",,,,
How often should I water tomato plants?,"Tomato plants should be watered every 2-3 days, keeping the soil moist but not waterlogged.",,,,
What fertilizer is good for wheat crops?,"A balanced fertilizer with nitrogen, phosphorus, and potassium (NPK 10-26-26) is recommended for wheat crops.",,,,
How can I control pests on my cotton farm?,"Use integrated pest management including neem-based pesticides, pheromone traps, and crop rotation.",,,,
Which crop is best for sandy soil?,"Crops like groundnut, millets, and watermelon grow well in sandy soils.",,,,
What is the best time to plant rice?,"The best time to plant rice depends on your region, but generally it is during the monsoon season between June and July.",,,,
How often should I water tomato plants?,"Tomato plants should be watered every 2-3 days, keeping the soil moist but not waterlogged.",,,,
What fertilizer is good for wheat crops?,"A balanced fertilizer with nitrogen, phosphorus, and potassium (NPK 10-26-26) is recommended for wheat crops.",,,,
How can I control pests on my cotton farm?,"Use integrated pest management including neem-based pesticides, pheromone traps, and crop rotation.",,,,
Which crop is best for sandy soil?,"Crops like groundnut, millets, and watermelon grow well in sandy soils.",,,,
What is the best time to plant rice?,"The best time to plant rice depends on your region, but generally it is during the monsoon season between June and July.",,,,
How often should I water tomato plants?,"Tomato plants should be watered every 2-3 days, keeping the soil moist but not waterlogged.",,,,
What fertilizer is good for wheat crops?,"A balanced fertilizer with nitrogen, phosphorus, and potassium (NPK 10-26-26) is recommended for wheat crops.",,,,
How can I control pests on my cotton farm?,"Use integrated pest management including neem-based pesticides, pheromone traps, and crop rotation.",,,,
Which crop is best for sandy soil?,"Crops like groundnut, millets, and watermelon grow well in sandy soils.",,,,
What is the best time to plant rice?,"The best time to plant rice depends on your region, but generally it is during the monsoon season between June and July.",,,,
How often should I water tomato plants?,"Tomato plants should be watered every 2-3 days, keeping the soil moist but not waterlogged.",,,,
What fertilizer is good for wheat crops?,"A balanced fertilizer with nitrogen, phosphorus, and potassium (NPK 10-26-26) is recommended for wheat crops.",,,,
How can I control pests on my cotton farm?,"Use integrated pest management including neem-based pesticides, pheromone traps, and crop rotation.",,,,
Which crop is best for sandy soil?,"Crops like groundnut, millets, and watermelon grow well in sandy soils.",,,,
What is the best time to plant rice?,"The best time to plant rice depends on your region, but generally it is during the monsoon season between June and July.",,,,
How often should I water tomato plants?,"Tomato plants should be watered every 2-3 days, keeping the soil moist but not waterlogged.",,,,
What fertilizer is good for wheat crops?,"A balanced fertilizer with nitrogen, phosphorus, and potassium (NPK 10-26-26) is recommended for wheat crops.",,,,
How can I control pests on my cotton farm?,"Use integrated pest management including neem-based pesticides, pheromone traps, and crop rotation.",,,,
Which crop is best for sandy soil?,"Crops like groundnut, millets, and watermelon grow well in sandy soils.",,,,
What is the best time to plant rice?,"The best time to plant rice depends on your region, but generally it is during the monsoon season between June and July.",,,,
How often should I water tomato plants?,"Tomato plants should be watered every 2-3 days, keeping the soil moist but not waterlogged.",,,,
What fertilizer is good for wheat crops?,"A balanced fertilizer with nitrogen, phosphorus, and potassium (NPK 10-26-26) is recommended for wheat crops.",,,,
How can I control pests on my cotton farm?,"Use integrated pest management including neem-based pesticides, pheromone traps, and crop rotation.",,,,
Which crop is best for sandy soil?,"Crops like groundnut, millets, and watermelon grow well in sandy soils.",,,,
What is the best time to plant rice?,"The best time to plant rice depends on your region, but generally it is during the monsoon season between June and July.",,,,
