Crop_Name,pH_Min,pH_Max,N_Min,N_Max,P_Min,P_Max,K_Min,K_Max,Fe_Min,Fe_Max,Mn_Min,Mn_Max,Zn_Min,Zn_Max,Cu_Min,Cu_Max,B_Min,B_Max,Water_Requirement_Min,Water_Requirement_Max,Moisture_Min,Moisture_Max,Temp_Min,Temp_Max,Rainfall_Min,Rainfall_Max
Rice,5.5,7.0,80,150,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,800,1500,60,80,20,35,800,1500
Wheat,6.0,7.5,80,150,40,80,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,450,650,50,70,15,25,400,600
Maize,5.5,7.5,100,180,40,80,40,80,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,500,800,55,75,18,30,500,800
Sorghum,6.0,8.5,60,120,30,60,30,60,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,400,650,50,70,20,35,400,650
Pearl Millet,6.0,8.5,40,80,20,40,20,40,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,350,550,45,65,25,40,350,550
Finger Millet,5.0,7.0,40,80,20,40,20,40,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,400,650,50,70,20,35,400,650
Barley,6.5,8.0,60,120,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,450,650,50,70,12,25,400,600
Foxtail Millet,5.5,7.5,40,80,20,40,20,40,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,350,550,45,65,18,30,350,550
Little Millet,5.0,7.0,30,60,15,30,15,30,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,350,550,45,65,18,30,350,550
Proso Millet,5.5,7.5,30,60,15,30,15,30,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,350,550,45,65,18,30,350,550
Barnyard Millet,5.0,7.0,30,60,15,30,15,30,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,350,550,45,65,18,30,350,550
Kodo Millet,5.5,7.5,30,60,15,30,15,30,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,350,550,45,65,18,30,350,550
Amaranth,5.5,7.5,40,80,20,40,20,40,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,50,70,15,30,400,650
Buckwheat,5.0,7.0,40,80,20,40,20,40,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,400,650,45,65,10,25,350,650
Oats,5.5,7.5,50,100,25,50,25,50,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,400,650,50,70,10,25,400,650
Chickpea,6.0,8.0,15,25,40,80,20,40,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,450,40,60,15,30,300,450
Pigeon Pea,5.5,8.0,20,30,40,80,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,450,650,50,70,20,35,450,650
Black Gram,6.0,7.5,15,25,30,60,20,40,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,450,40,60,25,35,300,450
Green Gram,6.0,7.5,15,25,30,60,20,40,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,450,40,60,25,35,300,450
Lentil,6.0,8.0,15,25,40,80,20,40,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,450,40,60,15,25,300,450
Field Pea,6.0,7.5,20,30,35,70,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,500,45,65,15,25,350,500
Kidney Bean,5.5,7.5,20,30,35,70,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,500,45,65,15,30,350,500
Moth Bean,6.5,8.5,15,25,30,60,20,40,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,250,400,35,55,25,40,250,400
Horse Gram,6.0,8.0,15,25,30,60,20,40,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,450,40,60,25,40,300,450
Cowpea,5.5,7.5,20,30,35,70,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,500,45,65,20,35,350,500
Cluster Bean,6.0,8.5,15,25,30,60,20,40,2.0,4.5,0.8,2.5,0.4,1.2,0.15,0.5,0.15,0.5,300,450,40,60,25,40,300,450
Broad Bean,6.0,7.5,20,30,35,70,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,500,45,65,10,25,350,500
Lima Bean,5.5,7.5,20,30,35,70,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,500,45,65,15,30,350,500
Winged Bean,5.5,7.5,20,30,35,70,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,500,45,65,20,30,350,500
Rice Bean,5.5,7.5,15,25,30,60,20,40,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,300,450,40,60,20,30,300,450
Groundnut,5.5,7.5,20,40,40,80,40,80,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,400,650,50,70,20,35,400,650
Soybean,6.0,7.5,30,60,60,100,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,450,700,55,75,20,35,450,700
Sunflower,6.0,7.5,40,80,40,80,40,80,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,500,800,55,75,20,30,500,800
Mustard,6.0,7.5,40,80,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,45,65,15,25,350,550
Rapeseed,6.0,7.5,40,80,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,45,65,15,25,350,550
Sesame,5.5,7.5,30,60,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,45,65,20,35,350,550
Safflower,6.0,8.0,30,60,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,45,65,15,30,350,550
Linseed,5.5,7.5,30,60,25,50,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,45,65,10,25,350,550
Castor,5.5,7.5,40,80,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,50,70,20,35,400,650
Niger,5.0,7.0,30,60,25,50,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,350,550,45,65,20,35,350,550
Cottonseed,5.5,7.5,40,80,30,60,30,60,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,450,700,55,75,18,30,450,700
Coconut,5.5,8.0,80,150,40,80,60,120,3.0,6.0,1.5,4.0,0.7,2.5,0.4,1.0,0.4,1.0,1500,2500,70,85,27,32,1500,2500
Oil Palm,4.5,7.5,100,180,60,100,80,150,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.2,0.5,1.2,1800,2500,70,85,24,32,1500,2500
Olive,5.5,8.0,60,120,40,80,50,100,3.0,6.0,1.2,3.5,0.6,2.0,0.3,0.8,0.3,0.8,600,900,55,75,15,30,600,900
Jatropha,5.5,7.5,30,60,25,50,25,50,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,400,650,50,70,20,35,400,650
Sugarcane,6.0,7.5,200,300,60,100,100,180,4.0,8.0,2.0,5.0,1.0,3.0,0.5,1.5,0.5,1.5,1500,2500,70,85,20,35,1500,2500
Cotton,5.5,7.5,80,150,40,80,40,80,3.0,6.0,1.5,4.0,0.8,2.5,0.4,1.2,0.4,1.2,600,1000,60,80,21,30,600,1000
Jute,6.0,7.5,60,120,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,600,900,60,80,24,35,600,900
Tea,4.5,5.5,80,150,40,80,50,100,3.0,6.0,1.5,4.0,0.7,2.0,0.3,0.8,0.3,0.8,1200,2000,70,85,20,30,1200,2000
Coffee,5.0,6.5,100,180,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.0,0.4,1.0,1500,2500,70,85,15,24,1500,2500
Tobacco,5.5,7.5,60,120,30,60,30,60,2.5,5.0,1.0,3.0,0.5,1.5,0.2,0.6,0.2,0.6,500,800,55,75,20,35,500,800
Rubber,4.5,5.5,100,180,50,100,60,120,3.5,7.0,1.5,4.0,0.8,2.5,0.4,1.0,0.4,1.0,1800,2500,75,90,25,34,1500,2500
