record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,soil_n,soil_p,soil_k,soil_ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall_effective_mm,avg_temp_c,temperature_avg_c,humidity_pct,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target
1,TN009,12.23,84.83,FLD00001,9012,Rice,Cereal,Kharif,Plateau,206,49,239,6.0,0.7,Sandy,22,9.5,1167,1015,389,754,890,30.2,30.2,71,5.6,1.12,0.6,0.68,0.024,0.56,0.53,0.57,0.61,0.64,0.68,0.46,0.45,0.29,0.3,154,Vegetative,Sprinkler,Rice,2248,0,Kharif
2,GJ036,19.19,72.5,FLD00002,11201,Rice,Cereal,Kharif,Plateau,255,48,216,7.0,0.84,Sandy,27,13.4,731,673,289,454,595,28.7,28.7,67,6.3,1.12,0.6,0.66,0.018,0.55,0.56,0.55,0.64,0.66,0.64,0.47,0.47,0.35,0.32,145,Tillering,Drip,Rice,2742,0,Kharif
3,MH021,32.68,76.12,FLD00003,18464,Rice,Cereal,Kharif,Mountain,282,36,178,6.2,0.95,Clay,30,8.7,2944,2440,1066,1687,2138,18.6,18.6,77,5.4,1.12,0.6,0.66,0.014,0.56,0.54,0.56,0.66,0.65,0.63,0.46,0.45,0.32,0.34,157,Tuber development,Sprinkler,Rice,4251,0,Kharif
4,AP036,17.63,89.92,FLD00004,13669,Rice,Cereal,Kharif,Humid,182,49,184,7.2,0.76,Loam,30,5.6,2090,1633,490,1215,1470,27.9,27.9,77,6.5,1.12,0.6,0.67,0.022,0.56,0.53,0.58,0.63,0.63,0.67,0.48,0.46,0.31,0.26,164,Reproductive,Sprinkler,Rice,3240,0,Kharif
5,AP016,28.58,87.57,FLD00005,18626,Rice,Cereal,Kharif,Arid,194,35,180,6.0,0.73,Sandy,37,22.7,282,248,109,156,233,33.2,33.2,48,5.9,1.12,0.6,0.68,0.022,0.55,0.54,0.58,0.62,0.68,0.66,0.46,0.44,0.26,0.32,170,Tuber bulking,Sprinkler,Rice,4837,0,Kharif
6,MH022,24.16,71.18,FLD00006,6104,Rice,Cereal,Kharif,Arid,198,44,200,6.4,0.73,Sandy Clay,24,22.2,475,410,152,310,366,34.8,34.8,55,5.3,1.12,0.6,0.66,0.018,0.54,0.57,0.55,0.64,0.66,0.63,0.47,0.49,0.27,0.27,143,Tuber development,Sprinkler,Rice,1377,0,Kharif
7,GJ029,13.67,79.25,FLD00007,19327,Rice,Cereal,Kharif,Humid,320,31,176,7.1,0.76,Sandy,22,9.6,2938,2342,845,1630,1991,28.5,28.5,81,6.4,1.12,0.61,0.69,0.032,0.53,0.56,0.57,0.62,0.68,0.69,0.45,0.48,0.28,0.28,145,Rhizome development,Drip,Rice,4732,0,Kharif
8,HR031,8.85,74.77,FLD00008,5821,Rice,Cereal,Kharif,Coastal,308,44,190,5.9,0.74,Laterite,25,6.4,939,831,278,518,757,30.7,30.7,70,5.4,1.12,0.6,0.66,0.02,0.55,0.55,0.56,0.61,0.66,0.65,0.46,0.46,0.32,0.3,159,Tuber development,Drip,Rice,1328,0,Kharif
9,PB014,21.98,88.42,FLD00009,6200,Rice,Cereal,Kharif,Coastal,309,36,186,7.7,0.92,Sandy Loam,31,7.7,1697,1555,630,1123,1448,31.0,31.0,80,6.0,1.12,0.61,0.68,0.02,0.57,0.52,0.59,0.61,0.68,0.67,0.47,0.44,0.27,0.3,140,Grand growth,Surface,Rice,1556,0,Kharif
10,MH006,20.11,75.02,FLD00010,19879,Rice,Cereal,Kharif,Sub-Humid,288,36,175,5.8,0.87,Clay,28,8.8,1076,925,336,556,836,27.2,27.2,70,6.3,1.12,0.6,0.68,0.026,0.55,0.52,0.55,0.62,0.68,0.68,0.48,0.45,0.28,0.29,168,Nut development,Drip,Rice,4402,0,Kharif
11,KA016,20.38,76.63,FLD00011,15168,Rice,Cereal,Kharif,Coastal,221,33,222,5.8,0.85,Loam,33,10.8,2569,2304,776,1455,2009,30.1,30.1,77,5.6,1.12,0.6,0.66,0.024,0.53,0.56,0.59,0.61,0.66,0.65,0.44,0.46,0.34,0.29,141,Flush,Surface,Rice,3556,0,Kharif
12,AP012,30.36,93.78,FLD00012,6889,Rice,Cereal,Kharif,Mountain,247,29,183,7.0,0.67,Laterite,30,10.5,2994,2314,1006,1476,2091,16.4,16.4,85,5.7,1.12,0.6,0.68,0.03,0.53,0.52,0.58,0.62,0.64,0.68,0.46,0.44,0.3,0.31,156,Tuber bulking,Sprinkler,Rice,1566,0,Kharif
13,KA040,9.78,76.91,FLD00013,11211,Rice,Cereal,Kharif,Coastal,257,40,240,7.5,0.65,Sandy Loam,33,10.7,2042,1798,664,1237,1660,28.6,28.6,82,5.7,1.12,0.6,0.68,0.022,0.53,0.56,0.58,0.6,0.68,0.64,0.44,0.49,0.28,0.26,168,Fruiting,Sprinkler,Rice,2844,0,Kharif
14,HR013,25.73,83.29,FLD00014,15318,Rice,Cereal,Kharif,Mountain,278,43,221,6.3,0.81,Sandy,23,13.2,1796,1410,625,992,1262,16.5,16.5,63,5.4,1.12,0.62,0.68,0.024,0.55,0.57,0.58,0.65,0.68,0.67,0.47,0.48,0.34,0.31,167,Flush,Drip,Rice,3895,0,Kharif
15,AP050,19.0,85.04,FLD00015,18760,Rice,Cereal,Kharif,Humid,313,43,200,6.3,0.54,Loam,27,6.4,1854,1721,537,1084,1534,26.5,26.5,76,5.2,1.12,0.6,0.68,0.024,0.54,0.54,0.55,0.62,0.68,0.66,0.47,0.47,0.34,0.3,146,Boll formation,Drip,Rice,5008,0,Kharif
