N,P,K,temperature,humidity,ph,rainfall,soil_type,state,season,label
232.47,282.7,352.9,30.93,69.8,7.42,1254.36,Sandy Loam,Karnataka,Perennial,Papaya
51.53,29.67,52.54,36.4,65.44,5.73,674.25,Loamy,Karnataka,Summer,Watermelon
25.06,50.64,23.34,20.62,45.22,6.4,580.52,Black Soil,Rajasthan,Rabi,Chickpea
119.11,55.77,77.65,28.74,50.95,7.43,690.02,Red Soil,Maharashtra,Kharif,Cotton
80.12,44.92,235.06,28.32,81.74,6.22,1068.39,Coastal Sandy,Andhra Pradesh,Perennial,Coconut
222.6,52.77,102.68,23.43,74.81,5.13,1984.8,Forest Soil,Tamil Nadu,Perennial,Coffee
112.69,38.89,38.27,25.85,76.55,6.16,515.09,Alluvial,Karnataka,Rabi,Maize
196.87,140.0,518.58,26.94,67.62,6.16,1349.24,Loamy,Maharashtra,Perennial,Papaya
160.03,38.81,39.66,26.28,48.43,6.11,465.64,Loamy,Karnataka,Kharif,Maize
50.77,49.01,68.08,28.33,60.0,5.75,679.39,Alluvial,Karnataka,Summer,Watermelon
30.13,40.81,14.5,25.66,60.94,6.6,821.22,Black Soil,Karnataka,Kharif,Pigeonpeas
15.45,38.65,24.67,22.05,34.8,7.71,417.1,Arid,Maharashtra,Kharif,Mothbeans
87.43,47.63,92.22,33.84,57.55,6.31,1034.56,Laterite,Maharashtra,Perennial,Mango
20.46,69.78,11.89,23.94,73.68,6.47,974.96,Black Soil,Tamil Nadu,Kharif,Blackgram
21.1,57.77,36.81,20.21,51.85,6.47,449.41,Sandy Loam,Uttarakhand,Kharif,Kidneybeans
24.37,31.03,25.95,26.15,78.08,7.14,553.01,Loamy,Rajasthan,Kharif,Mungbean
77.44,62.09,66.61,22.37,69.4,6.41,1078.41,Alluvial,Maharashtra,Kharif,Cotton
21.43,58.77,18.49,28.24,50.48,6.36,537.84,Black Soil,Maharashtra,Kharif,Blackgram
11.2,30.55,21.47,43.72,51.31,7.28,230.92,Arid,Rajasthan,Kharif,Mothbeans
222.64,58.29,286.68,30.81,80.35,6.78,1928.45,Clayey,Gujarat,Perennial,Banana
53.2,20.85,51.18,32.24,51.3,6.22,503.44,Loamy,Punjab,Summer,Muskmelon
107.77,57.72,102.59,25.27,48.17,5.63,800.92,Alluvial,Maharashtra,Perennial,Mango
11.28,62.95,41.9,18.68,41.47,6.13,487.59,Loamy,Jammu Kashmir,Kharif,Kidneybeans
123.37,60.04,142.81,21.12,61.06,7.45,602.76,Black Soil,Tamil Nadu,Perennial,Grapes
70.34,40.59,47.16,29.82,79.71,5.56,1820.98,Alluvial,Andhra Pradesh,Kharif,Rice
18.37,50.66,15.91,16.73,45.79,6.46,239.69,Loamy,Bihar,Rabi,Lentil
36.28,21.18,54.64,29.37,45.59,7.63,745.07,Sandy Loam,Maharashtra,Perennial,Pomegranate
64.51,30.38,58.77,17.3,50.1,7.76,389.03,Sandy Loam,Andhra Pradesh,Perennial,Pomegranate
127.28,48.19,132.79,27.97,50.74,6.76,283.79,Sandy Loam,Tamil Nadu,Perennial,Grapes
71.51,36.7,57.88,30.07,44.21,7.02,363.63,Sandy Loam,Punjab,Summer,Muskmelon
68.34,53.05,111.84,21.18,66.84,5.36,1678.44,Loamy,Rajasthan,Perennial,Orange
98.65,60.38,122.05,26.29,56.76,6.52,911.38,Red Soil,Tamil Nadu,Perennial,Grapes
24.35,50.74,24.68,14.38,45.27,7.08,573.17,Loamy,Rajasthan,Rabi,Chickpea
179.42,79.99,277.35,29.52,68.48,6.22,1737.97,Loamy,Andhra Pradesh,Perennial,Banana
129.06,38.12,128.53,21.27,52.13,5.8,1032.02,Alluvial,Rajasthan,Perennial,Orange
61.55,48.2,68.24,24.13,63.99,7.05,1190.6,Alluvial,Andhra Pradesh,Kharif,Rice
